number,show,nominated,win,years on broadway,performances
1,Wicked,10,3,20,7486
2,A Chorus Line,12,9,15,6137
3,A Little Night Music,12,6,1,601
4,An American in Paris,12,4,1,623
5,Fun Home,12,5,1,582
6,Grand Hotel,12,5,3,1017
7,"Kiss Me, Kate",15,9,3,1077
8,Les Miserables,12,8,16,6680
9,Matilda,12,4,4,1554
10,Nine,12,5,2,729
11,The Life,12,2,1,466
12,"Natasha, Pierre & The Great Comet of 1812",12,2,1,336
13,The Scottsboro Boys,12,0,0.167,49
14,Mean Girls,12,0,2,834
15,SpongeBob SquarePants,12,1,1,327
16,Ain't Too Proud,12,1,3,488
17,Dreamgirls,13,6,4,1521
18,The Drowsy Chaperone,13,5,1,674
19,Hairspray,13,8,7,2642
20,In the Heights,13,4,3,1185
21,Kinky Boots,13,4,6,2507
22,Me and My Girl,13,3,3,1420
23,Ragtime,13,4,1,65
24,Some Like It Hot,13,4,1,483
25,The Book of Mormon,14,9,12,4607
26,Hadestown,14,8,4,1292
27,Company,14,6,2,705
28,Spamalot,14,3,5,1574
29,Jagged Little Pill,15,2,1,79
30,Billy Elliot,15,10,4,1312
31,The Producers,15,12,6,2502
32,Hamilton,16,11,8,2821
