Week,42ndStreet,AChorusLine,OhCalcutta,Aladdin,BeautyAndTheBeast,Cats,Chicago,FiddlerOnTheRoof,Grease,Hairspray,Hamilton,LesMiserables,MammaMia,MissSaigon,MyFairLady,Rent,TheBookOfMormon,TheLionKing,ThePhantomOfTheOpera,Wicked
06/08/1980,,Shubert,Edison,,,,,,,,,,,,,,,,,
06/15/1980,,Shubert,Edison,,,,,,,,,,,,,,,,,
06/22/1980,,Shubert,Edison,,,,,,,,,,,,,,,,,
06/29/1980,,Shubert,Edison,,,,,,,,,,,,,,,,,
07/06/1980,,Shubert,Edison,,,,,,,,,,,,,,,,,
07/13/1980,,Shubert,Edison,,,,,,,,,,,,,,,,,
07/20/1980,,Shubert,Edison,,,,,,,,,,,,,,,,,
07/27/1980,,Shubert,Edison,,,,,,,,,,,,,,,,,
08/03/1980,,Shubert,Edison,,,,,,,,,,,,,,,,,
08/10/1980,,Shubert,Edison,,,,,,,,,,,,,,,,,
08/17/1980,,Shubert,Edison,,,,,,,,,,,,,,,,,
08/24/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
08/31/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
09/07/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
09/14/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
09/21/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
09/28/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
10/05/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
10/12/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
10/19/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
10/26/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
11/02/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
11/09/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
11/16/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
11/23/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
11/30/1980,Winter Garden,Shubert,Edison,,,,,,,,,,,,,,,,,
