Week,42ndStreet,AChorusLine,OhCalcutta,Aladdin,BeautyAndTheBeast,Cats,Chicago,FiddlerOnTheRoof,Grease,Hairspray,Hamilton,LesMiserables,MammaMia,MissSaigon,MyFairLady,Rent,TheBookOfMormon,TheLionKing,ThePhantomOfTheOpera,Wicked
06/08/1980,,195966,33849,,,,,,,,,,,,,,,,,
06/15/1980,,202463,33403,,,,,,,,,,,,,,,,,
06/22/1980,,209846,36113,,,,,,,,,,,,,,,,,
06/29/1980,,216447,38017,,,,,,,,,,,,,,,,,
07/06/1980,,197636,32621,,,,,,,,,,,,,,,,,
07/13/1980,,202636,31964,,,,,,,,,,,,,,,,,
07/20/1980,,214637,32621,,,,,,,,,,,,,,,,,
07/27/1980,,219509,37255,,,,,,,,,,,,,,,,,
08/03/1980,,225373,39937,,,,,,,,,,,,,,,,,
08/10/1980,,223518,36150,,,,,,,,,,,,,,,,,
08/17/1980,,226194,37282,,,,,,,,,,,,,,,,,
08/24/1980,82440,245530,46034,,,,,,,,,,,,,,,,,
08/31/1980,229977,244642,44135,,,,,,,,,,,,,,,,,
09/07/1980,243720,202235,30939,,,,,,,,,,,,,,,,,
09/14/1980,269294,213211,36772,,,,,,,,,,,,,,,,,
09/21/1980,283552,211147,34154,,,,,,,,,,,,,,,,,
09/28/1980,283965,211146,38364,,,,,,,,,,,,,,,,,
10/05/1980,292152,209816,32699,,,,,,,,,,,,,,,,,
10/12/1980,293164,216634,49709,,,,,,,,,,,,,,,,,
10/19/1980,265740,222739,42294,,,,,,,,,,,,,,,,,
10/26/1980,309853,220795,49350,,,,,,,,,,,,,,,,,
11/02/1980,301164,207790,32199,,,,,,,,,,,,,,,,,
11/09/1980,313975,202913,36888,,,,,,,,,,,,,,,,,
11/16/1980,317707,216077,37332,,,,,,,,,,,,,,,,,
11/23/1980,315552,191804,31902,,,,,,,,,,,,,,,,,
11/30/1980,325584,219106,37894,,,,,,,,,,,,,,,,,
12/07/1980,322036,200174,30968,,,,,,,,,,,,,,,,,
12/14/1980,330089,195171,23598,,,,,,,,,,,,,,,,,
12/21/1980,328141,165088,24424,,,,,,,,,,,,,,,,,
12/28/1980,339528,211982,29762,,,,,,,,,,,,,,,,,
01/04/1981,354791,258431,42553,,,,,,,,,,,,,,,,,
01/11/1981,347225,193484,25488,,,,,,,,,,,,,,,,,
01/18/1981,337769,182087,31641,,,,,,,,,,,,,,,,,
01/25/1981,330822,171772,28730,,,,,,,,,,,,,,,,,
02/01/1981,315129,174604,26027,,,,,,,,,,,,,,,,,
02/08/1981,315839,148959,24301,,,,,,,,,,,,,,,,,
02/15/1981,327384,175803,50104,,,,,,,,,,,,,,,,,
02/22/1981,357263,219056,36335,,,,,,,,,,,,,,,,,
03/01/1981,340499,190762,29825,,,,,,,,,,,,,,,,,
03/08/1981,322690,166840,29870,,,,,,,,,,,,,,,,,
03/15/1981,340236,187455,32796,,,,,,,,,,,,,,,,,
03/22/1981,351470,208922,33619,,,,,,,,,,,,,,,,,
03/29/1981,353042,214010,30744,,,,,,,,,,,,,,,,,
04/05/1981,350565,181416,30439,,,,,,,,,,,,,,,,,
04/12/1981,354056,182466,31680,,,,,,,,,,,,,,,,,
04/19/1981,376943,218882,32872,,,,,,,,,,,,,,,,,
04/26/1981,385654,230547,36213,,,,,,,,,,,,,,,,,
05/03/1981,361837,185286,31242,,,,,,,,,,,,,,,,,
